area_name,n_unmarried_males_20_24,n_unmarried_males_25_29,n_unmarried_males_30_34,n_married_males_20_24,n_married_males_25_29,n_married_males_30_34,n_unmarried_females_20_24,n_unmarried_females_25_29,n_unmarried_females_30_34,n_married_females_20_24,n_married_females_25_29,n_married_females_30_34,n_males_middle_school_dropout,n_males_high_school_dropout,n_males_ged,n_males_college_dropout,n_males_associates,n_males_bachelors,n_males_grad,n_females_middle_school_dropout,n_females_high_school_dropout,n_females_ged,n_females_college_dropout,n_females_associates,n_females_bachelors,n_females_grad,n_households,n_white_households,n_black_households,n_amerindian_households,n_asian_households,n_islander_households,n_mixed_households,n_hispanic_households,median_income_males_living_alone,median_income_females_living_alone,p_male_disabled,p_female_disabled,p_white_disabled,p_black_disabled,p_amerindian_disabled,p_asian_disabled,p_hawaiian_disabled,p_nonhisp_white_disabled,p_hispanic_disabled,p_disabled_18_34,p_deaf_18_34,p_blind_18_34,p_cognitive_18_34,p_ambulatory_18_34,p_self_care_18_34,p_independent_living_18_34,median_rent_overall,median_rent_0_bed,median_rent_1_bed,median_rent_2_bed,median_rent_3_bed,n_males_20_34,n_males_35_44,n_females_20_34,n_females_35_44,n_labor_males,n_working_males,n_labor_females,n_working_females,p_married,p_unmarried,p_males_20_34_unmarried,p_females_20_34_unmarried,p_hispanic_unmarried,p_white_unmarried,p_black_unmarried,p_amerindian_unmarried,p_asian_unmarried,p_islander_unmarried,p_white_non_hispanic_unmarried,p_unmarried_males_working,p_unmarried_females_working,n_people,n_males,n_females,n_males_18over,n_females_18over,n_males_65over,n_females_65over,n_white,n_black,n_amerindian,n_asian,n_indian,n_islander,n_mixed,n_hapa,n_hispanic,n_cuban,n_housing,total,n_unmarried_households,n_male_male_couple,n_male_female_couple,n_female_female_couple,n_female_male_couple,n_other_household,percent_obese_fem,percent_obese_male,p_unmarried_20_24_female,p_unmarried_25_29_female,p_unmarried_30_34_female,n_extra_unmarried_20_24_females,m_f_income_gap,m_f_income_ratio,p_gay,m_f_obesity_diff,p_hapa,p_white,p_black
"Van Wert, OH Micro Area",665.0,404.0,221.0,123.0,398.0,427.0,611.0,220.0,128.0,152.0,478.0,517.0,0.0,176.0,439.0,423.0,21.0,73.0,0.0,2.0,177.0,450.0,370.0,78.0,25.0,2.0,11544.0,11321.0,95.0,17.0,22.0,0.0,37.0,233.0,24256.0,22139.0,16.7,13.8,15.3,27.2,21.9,0.0,,15.2,16.3,9.4,1.1,1.0,5.7,2.0,0.5,2.0,712.0,,527.0,663.0,797.0,2374.0,1720.0,2415.0,1575.0,11006.0,7544.0,11427.0,6677.0,56.4,23.6,54.3,39.7,35.0,23.0,34.9,32.6,37.0,,22.9,25.3,22.5,28261.0,13936.0,14325.0,10583.0,11058.0,2316.0,2914.0,27219.0,371.0,64.0,81.0,0.0,0.0,368.0,57.0,960.0,0.0,12707.0,11419.0,896.0,3.0,543.0,0.0,350.0,10523.0,36.5,35.8,0.4788401253918495,0.3525641025641026,0.3667621776504298,-54.0,2117.0,1.0956231085414878,0.0033482142857142855,-0.7000000000000028,0.002016913768090301,0.9631294009412265,0.013127631718622837
"Vermillion, SD Micro Area",1301.0,338.0,93.0,45.0,197.0,209.0,1611.0,283.0,55.0,95.0,216.0,216.0,4.0,38.0,418.0,1367.0,57.0,218.0,0.0,0.0,18.0,457.0,1675.0,45.0,307.0,42.0,5233.0,4812.0,62.0,110.0,129.0,0.0,59.0,145.0,31587.0,23563.0,10.5,10.3,10.6,3.5,7.0,2.5,,10.7,11.7,6.6,0.6,0.3,5.2,0.5,0.6,2.2,741.0,493.0,529.0,711.0,973.0,2209.0,631.0,2546.0,572.0,5685.0,4147.0,6121.0,4136.0,38.4,50.5,78.4,76.6,82.1,49.1,71.8,67.8,40.7,,48.9,50.6,55.3,13957.0,6833.0,7124.0,5579.0,6020.0,785.0,869.0,12357.0,260.0,423.0,403.0,9.0,0.0,327.0,14.0,419.0,6.0,6039.0,5223.0,312.0,0.0,104.0,0.0,208.0,4911.0,18.7,19.4,0.553228021978022,0.4557165861513688,0.3716216216216216,310.0,8024.0,1.3405338878750583,0.0,0.6999999999999993,0.0010030808913090205,0.8853621838503977,0.01862864512431038
"Vernal, UT Micro Area",1030.0,475.0,462.0,133.0,587.0,852.0,713.0,483.0,274.0,292.0,664.0,853.0,84.0,408.0,629.0,324.0,210.0,27.0,8.0,21.0,255.0,671.0,366.0,88.0,44.0,0.0,10569.0,9614.0,1.0,601.0,42.0,26.0,143.0,595.0,47458.0,29489.0,11.6,11.8,11.3,19.1,13.0,0.0,0.0,11.3,9.9,7.4,0.6,0.8,5.5,1.0,0.4,5.2,811.0,574.0,340.0,722.0,942.0,3971.0,2532.0,3715.0,2462.0,12796.0,9102.0,12621.0,7164.0,52.5,29.3,49.5,39.6,43.1,25.8,80.4,56.9,84.8,0.0,25.0,25.9,28.2,36084.0,18302.0,17782.0,12119.0,11922.0,1736.0,1936.0,31684.0,144.0,2663.0,165.0,0.0,26.0,971.0,200.0,3038.0,0.0,13747.0,10625.0,674.0,38.0,295.0,27.0,314.0,9951.0,35.3,37.0,0.40906483075157773,0.5041753653444676,0.37228260869565216,-317.0,17969.0,1.6093458577774764,0.05637982195845697,1.7000000000000028,0.005542622769094336,0.8780622990799246,0.0039906883937479215
"Vernon, TX Micro Area",200.0,182.0,267.0,54.0,181.0,119.0,240.0,219.0,117.0,94.0,191.0,167.0,5.0,150.0,231.0,129.0,34.0,22.0,0.0,0.0,117.0,156.0,219.0,13.0,25.0,0.0,5180.0,4168.0,459.0,118.0,55.0,0.0,151.0,963.0,22679.0,23315.0,22.8,22.9,21.3,42.9,54.1,0.0,,24.7,11.0,16.7,0.2,3.8,13.5,1.3,1.1,4.9,616.0,,446.0,659.0,744.0,1130.0,666.0,1301.0,669.0,5051.0,3502.0,5262.0,3036.0,49.6,28.0,57.4,44.3,37.4,24.2,55.5,11.0,60.0,,19.6,29.8,25.2,12833.0,6266.0,6567.0,4864.0,5093.0,1095.0,1273.0,10017.0,1291.0,194.0,121.0,2.0,0.0,275.0,3.0,3736.0,2.0,6240.0,5263.0,404.0,0.0,63.0,15.0,326.0,4859.0,23.3,23.2,0.5454545454545454,0.5461346633416458,0.3046875,40.0,-636.0,0.9727214239759812,0.0,-0.10000000000000142,0.00023377230577417596,0.7805657289799736,0.10060001558482039
"Vicksburg, MS Micro Area",1353.0,1010.0,597.0,55.0,307.0,513.0,1239.0,972.0,633.0,92.0,431.0,690.0,2.0,354.0,772.0,645.0,105.0,96.0,0.0,59.0,398.0,597.0,688.0,134.0,68.0,0.0,18235.0,9286.0,8560.0,121.0,137.0,0.0,48.0,311.0,33750.0,21696.0,16.0,19.1,19.6,16.2,0.0,9.1,0.0,19.5,15.7,6.0,0.4,2.0,3.3,0.9,0.7,2.2,720.0,505.0,503.0,704.0,854.0,4139.0,2784.0,4405.0,3000.0,17163.0,10398.0,19461.0,10355.0,43.2,35.4,71.5,64.6,26.7,22.5,49.7,0.0,18.9,0.0,22.4,32.2,36.8,46519.0,22208.0,24311.0,16559.0,18779.0,3275.0,4195.0,22470.0,22978.0,121.0,332.0,80.0,8.0,438.0,117.0,981.0,94.0,22062.0,21775.0,813.0,0.0,316.0,0.0,497.0,20962.0,37.2,34.2,0.47800925925925924,0.49041372351160445,0.5146341463414634,-114.0,12054.0,1.5555862831858407,0.0,-3.0,0.0025151013564350053,0.48302843999226125,0.493948709129603
"Victoria, TX Metro Area",2928.0,2179.0,1142.0,169.0,1077.0,1522.0,2591.0,1630.0,731.0,353.0,1240.0,1771.0,98.0,916.0,1847.0,1392.0,178.0,119.0,0.0,152.0,538.0,1594.0,1772.0,207.0,160.0,12.0,34982.0,30967.0,2025.0,49.0,297.0,18.0,638.0,13615.0,34885.0,23270.0,14.9,15.8,15.2,19.0,18.4,11.3,0.0,15.7,14.9,7.4,1.6,1.9,4.0,1.9,1.0,2.6,912.0,669.0,755.0,939.0,1135.0,10073.0,5939.0,9827.0,6064.0,37535.0,25659.0,39863.0,22303.0,50.2,29.6,62.0,50.4,36.0,28.3,42.6,19.3,27.7,0.0,22.4,31.1,29.8,99674.0,48831.0,50843.0,36019.0,38533.0,7201.0,9030.0,86665.0,5933.0,228.0,1122.0,132.0,71.0,2228.0,174.0,45887.0,145.0,40920.0,35225.0,2414.0,53.0,1033.0,140.0,1188.0,32811.0,32.6,35.1,0.4694691067222323,0.4279338409031242,0.39028296849973304,-337.0,11615.0,1.4991405242801892,0.021955260977630488,2.5,0.0017456909525051668,0.8694845195336798,0.05952404839777675
"Vidalia, GA Micro Area",1011.0,670.0,266.0,116.0,276.0,574.0,890.0,481.0,386.0,181.0,463.0,651.0,17.0,484.0,631.0,547.0,74.0,26.0,0.0,31.0,215.0,585.0,618.0,169.0,15.0,0.0,13127.0,9110.0,3201.0,0.0,82.0,0.0,100.0,967.0,31204.0,17275.0,16.1,18.8,19.0,19.5,0.0,5.7,,19.4,4.0,11.1,0.3,2.6,8.8,1.5,2.1,4.3,604.0,371.0,338.0,573.0,753.0,3267.0,2119.0,3530.0,2167.0,13414.0,8071.0,14636.0,7289.0,47.0,28.8,59.6,49.8,43.8,23.7,41.0,100.0,40.2,,21.7,29.6,27.1,36030.0,17118.0,18912.0,12851.0,14143.0,2476.0,3383.0,23209.0,9353.0,3.0,261.0,119.0,0.0,575.0,12.0,3750.0,20.0,16191.0,13442.0,600.0,21.0,404.0,16.0,159.0,12842.0,29.0,28.0,0.46817464492372435,0.41789748045178104,0.5920245398773006,-121.0,13929.0,1.8063096960926195,0.035,-1.0,0.00033305578684429644,0.644157646405773,0.25958923119622535
"Vincennes, IN Micro Area",1574.0,752.0,360.0,121.0,349.0,602.0,976.0,313.0,173.0,153.0,553.0,780.0,77.0,183.0,943.0,1210.0,271.0,77.0,0.0,0.0,131.0,541.0,847.0,244.0,49.0,37.0,15038.0,14536.0,215.0,6.0,100.0,0.0,141.0,218.0,34462.0,22763.0,19.1,19.7,19.8,8.5,25.5,7.1,100.0,19.6,25.3,13.2,2.0,2.8,7.8,2.7,0.8,2.0,659.0,585.0,532.0,719.0,741.0,4016.0,2114.0,3319.0,2014.0,15243.0,10438.0,14896.0,8560.0,48.5,28.8,66.9,44.0,41.7,27.4,64.7,8.5,25.0,0.0,27.1,32.5,24.6,37065.0,18817.0,18248.0,14675.0,14445.0,2745.0,3749.0,34881.0,1036.0,47.0,336.0,48.0,26.0,537.0,41.0,752.0,0.0,17114.0,14955.0,886.0,6.0,401.0,7.0,472.0,14069.0,30.5,33.7,0.3827450980392157,0.29389671361502345,0.324577861163227,-598.0,11699.0,1.5139480736282565,0.006772009029345372,3.200000000000003,0.001106164845541616,0.9410764872521247,0.027950897072710104
"Vineland-Bridgeton, NJ Metro Area",4515.0,4804.0,4118.0,212.0,1119.0,1350.0,3752.0,3545.0,2080.0,402.0,869.0,1854.0,278.0,854.0,3110.0,1675.0,293.0,395.0,11.0,444.0,583.0,2262.0,1619.0,622.0,452.0,14.0,50729.0,37811.0,8700.0,438.0,506.0,0.0,1273.0,12572.0,25755.0,21564.0,13.6,14.9,14.6,14.2,19.3,9.8,0.0,16.6,11.4,8.2,1.4,1.5,5.3,1.2,1.0,4.2,1069.0,657.0,825.0,1141.0,1356.0,17336.0,11067.0,13820.0,8985.0,61439.0,34190.0,58247.0,32331.0,39.4,40.9,77.5,67.9,47.2,34.1,59.3,48.0,35.1,100.0,30.2,40.8,37.8,151906.0,77686.0,74220.0,59327.0,56406.0,9864.0,12812.0,103397.0,29551.0,1278.0,2189.0,624.0,23.0,6231.0,275.0,46643.0,532.0,56448.0,50608.0,4595.0,35.0,2344.0,50.0,2166.0,46013.0,,,0.45385266723116,0.4246017487124206,0.33559212649241693,-763.0,4191.0,1.194351697273233,0.007616974972796518,,0.0018103300725448633,0.6806643582215317,0.1945347780864482
"Vineyard Haven, MA Micro Area",269.0,352.0,342.0,0.0,68.0,108.0,362.0,268.0,225.0,0.0,102.0,182.0,44.0,181.0,141.0,330.0,33.0,8.0,0.0,0.0,37.0,105.0,219.0,6.0,81.0,96.0,6765.0,6143.0,386.0,30.0,0.0,0.0,83.0,120.0,49194.0,34507.0,10.9,9.2,10.3,14.1,5.6,0.0,,10.5,8.0,5.0,0.0,0.0,0.7,4.3,0.6,0.1,1459.0,,,1521.0,1713.0,1206.0,924.0,1198.0,1043.0,7159.0,4586.0,7376.0,4464.0,48.5,32.9,79.9,71.4,51.0,30.6,26.9,72.0,62.7,,30.2,35.0,32.1,17312.0,8535.0,8777.0,6930.0,7175.0,1887.0,2146.0,15247.0,813.0,143.0,59.0,6.0,0.0,704.0,1.0,630.0,56.0,17902.0,6367.0,387.0,41.0,88.0,0.0,258.0,5980.0,25.2,25.7,0.5736925515055468,0.432258064516129,0.3968253968253968,93.0,14687.0,1.4256237864781058,0.10594315245478036,0.5,5.77634011090573e-05,0.8807185767097967,0.046961645101663584
