area_name,n_unmarried_males_20_24,n_unmarried_males_25_29,n_unmarried_males_30_34,n_married_males_20_24,n_married_males_25_29,n_married_males_30_34,n_unmarried_females_20_24,n_unmarried_females_25_29,n_unmarried_females_30_34,n_married_females_20_24,n_married_females_25_29,n_married_females_30_34,n_males_middle_school_dropout,n_males_high_school_dropout,n_males_ged,n_males_college_dropout,n_males_associates,n_males_bachelors,n_males_grad,n_females_middle_school_dropout,n_females_high_school_dropout,n_females_ged,n_females_college_dropout,n_females_associates,n_females_bachelors,n_females_grad,n_households,n_white_households,n_black_households,n_amerindian_households,n_asian_households,n_islander_households,n_mixed_households,n_hispanic_households,median_income_males_living_alone,median_income_females_living_alone,p_male_disabled,p_female_disabled,p_white_disabled,p_black_disabled,p_amerindian_disabled,p_asian_disabled,p_hawaiian_disabled,p_nonhisp_white_disabled,p_hispanic_disabled,p_disabled_18_34,p_deaf_18_34,p_blind_18_34,p_cognitive_18_34,p_ambulatory_18_34,p_self_care_18_34,p_independent_living_18_34,median_rent_overall,median_rent_0_bed,median_rent_1_bed,median_rent_2_bed,median_rent_3_bed,n_males_20_34,n_males_35_44,n_females_20_34,n_females_35_44,n_labor_males,n_working_males,n_labor_females,n_working_females,p_married,p_unmarried,p_males_20_34_unmarried,p_females_20_34_unmarried,p_hispanic_unmarried,p_white_unmarried,p_black_unmarried,p_amerindian_unmarried,p_asian_unmarried,p_islander_unmarried,p_white_non_hispanic_unmarried,p_unmarried_males_working,p_unmarried_females_working,n_people,n_males,n_females,n_males_18over,n_females_18over,n_males_65over,n_females_65over,n_white,n_black,n_amerindian,n_asian,n_indian,n_islander,n_mixed,n_hapa,n_hispanic,n_cuban,n_housing,total,n_unmarried_households,n_male_male_couple,n_male_female_couple,n_female_female_couple,n_female_male_couple,n_other_household,percent_obese_fem,percent_obese_male,p_unmarried_20_24_female,p_unmarried_25_29_female,p_unmarried_30_34_female,n_extra_unmarried_20_24_females,m_f_income_gap,m_f_income_ratio,p_gay,m_f_obesity_diff,p_hapa,p_white,p_black
"Aberdeen, SD Micro Area",1520.0,904.0,391.0,53.0,536.0,739.0,1148.0,612.0,367.0,335.0,657.0,781.0,3.0,229.0,728.0,905.0,163.0,130.0,0.0,20.0,331.0,598.0,936.0,41.0,257.0,5.0,17849.0,16279.0,418.0,507.0,469.0,0.0,138.0,422.0,38985.0,28149.0,11.8,10.3,11.2,17.7,13.8,0.7,,11.4,4.9,6.3,0.8,2.2,3.5,1.4,0.4,1.5,692.0,681.0,554.0,720.0,965.0,4455.0,2429.0,4203.0,2244.0,16730.0,12233.0,17241.0,11196.0,52.8,30.0,63.2,50.6,61.0,26.8,64.6,61.2,62.7,,26.0,31.4,26.0,42824.0,21135.0,21689.0,16094.0,16619.0,3282.0,4120.0,38587.0,930.0,1400.0,1219.0,142.0,0.0,608.0,11.0,1239.0,7.0,20075.0,17747.0,1053.0,56.0,440.0,4.0,553.0,16694.0,33.1,34.6,0.4302848575712144,0.40369393139841686,0.4841688654353562,-372.0,10836.0,1.384951508046467,0.05318138651471985,1.5,0.0002568653091724267,0.9010601531851299,0.021716794320941528
"Aberdeen, WA Micro Area",1952.0,1656.0,1133.0,36.0,505.0,761.0,1301.0,990.0,588.0,162.0,527.0,1118.0,34.0,417.0,1293.0,823.0,161.0,32.0,0.0,24.0,375.0,728.0,813.0,236.0,195.0,0.0,28722.0,26098.0,77.0,1115.0,338.0,31.0,883.0,1671.0,26304.0,21950.0,20.8,17.5,19.8,12.7,15.0,6.7,19.3,21.3,5.7,7.4,1.4,1.2,4.0,2.6,1.2,2.5,775.0,512.0,572.0,766.0,1071.0,6678.0,4610.0,5439.0,3927.0,30538.0,16003.0,28950.0,14616.0,48.8,27.5,71.0,52.9,44.1,25.7,45.9,40.1,27.3,48.7,24.3,33.3,25.8,72779.0,37317.0,35462.0,29682.0,28161.0,7344.0,7955.0,63802.0,859.0,3075.0,1096.0,32.0,200.0,3164.0,389.0,7246.0,154.0,36273.0,28263.0,2715.0,8.0,1196.0,12.0,1499.0,25548.0,36.1,34.8,0.3999385182908085,0.3741496598639456,0.34166182452062754,-651.0,4354.0,1.1983599088838268,0.0029465930018416206,-1.3000000000000043,0.005344948405446626,0.8766539798568268,0.011802855219225326
"Abilene, TX Metro Area",7241.0,3986.0,2673.0,1010.0,2434.0,2444.0,5633.0,2715.0,1260.0,1652.0,2658.0,2862.0,221.0,1370.0,4798.0,4117.0,488.0,595.0,33.0,49.0,914.0,3198.0,4793.0,465.0,1086.0,9.0,60931.0,50460.0,3907.0,397.0,788.0,11.0,939.0,11475.0,28152.0,23629.0,16.7,15.3,16.9,17.0,9.2,6.1,0.0,17.7,11.4,7.4,1.1,1.4,5.1,1.1,0.8,3.9,907.0,687.0,683.0,861.0,1082.0,22406.0,10711.0,19211.0,9260.0,67756.0,42571.0,66727.0,38459.0,47.5,32.3,62.0,50.0,39.1,28.7,53.8,49.6,31.2,0.0,27.1,32.8,29.4,170669.0,86183.0,84486.0,65679.0,64524.0,11118.0,14248.0,132039.0,13961.0,1162.0,3148.0,262.0,44.0,4956.0,848.0,40232.0,236.0,71513.0,60394.0,3670.0,59.0,1562.0,84.0,1965.0,56724.0,27.2,26.1,0.4375485474599969,0.4051634084465005,0.32036613272311215,-1608.0,4523.0,1.1914173261669982,0.016076294277929157,-1.0999999999999979,0.00496868206879984,0.7736554383045544,0.08180161599353133
"Ada, OK Micro Area",1368.0,847.0,455.0,122.0,509.0,639.0,1331.0,606.0,295.0,225.0,584.0,703.0,15.0,252.0,767.0,935.0,137.0,105.0,0.0,6.0,215.0,635.0,1087.0,137.0,160.0,8.0,14278.0,10419.0,356.0,1658.0,118.0,0.0,1602.0,511.0,26970.0,22331.0,16.3,15.5,16.9,15.0,15.7,0.3,0.0,17.4,8.8,7.4,1.6,2.2,4.1,2.0,1.3,3.3,707.0,672.0,509.0,714.0,816.0,4341.0,2156.0,4263.0,2224.0,14671.0,9565.0,15662.0,8706.0,48.1,30.6,61.5,52.4,46.7,25.6,61.2,38.3,60.5,100.0,25.0,30.8,28.3,38355.0,18832.0,19523.0,14211.0,15145.0,2753.0,3519.0,26364.0,972.0,4886.0,298.0,34.0,36.0,5379.0,172.0,2058.0,0.0,16881.0,14354.0,773.0,10.0,374.0,22.0,367.0,13581.0,30.7,31.4,0.4931456094849944,0.41706813489332417,0.3933333333333333,-37.0,4639.0,1.207738121893332,0.0129366106080207,0.6999999999999993,0.004484421848520401,0.6873680093859992,0.025342197888150175
"Adrian, MI Micro Area",3007.0,2219.0,1456.0,235.0,715.0,1175.0,2638.0,1465.0,805.0,345.0,953.0,1384.0,31.0,629.0,1919.0,1951.0,138.0,171.0,0.0,9.0,501.0,1369.0,1911.0,276.0,146.0,75.0,38345.0,36806.0,413.0,149.0,127.0,9.0,499.0,2454.0,34943.0,25431.0,15.3,15.7,15.5,15.4,28.9,12.1,0.0,15.9,10.9,7.5,0.9,1.1,5.0,1.3,1.1,3.5,767.0,521.0,582.0,757.0,934.0,9435.0,6203.0,8249.0,5510.0,40283.0,24765.0,39728.0,22159.0,49.9,30.1,70.8,59.5,43.9,28.3,63.7,38.3,17.5,45.0,27.4,32.2,28.9,98381.0,49699.0,48682.0,38900.0,38625.0,8092.0,9958.0,91576.0,2471.0,475.0,305.0,7.0,20.0,2767.0,392.0,7842.0,35.0,43806.0,38222.0,2770.0,17.0,1384.0,47.0,1322.0,35452.0,37.5,36.6,0.46731620903454385,0.3976655808903366,0.3560371517027864,-369.0,9512.0,1.3740316936022965,0.006137184115523465,-0.8999999999999986,0.00398450920401297,0.9308301399660504,0.025116638375296044
"Aguadilla-Isabela, PR Metro Area",9685.0,7641.0,4949.0,182.0,1269.0,2411.0,8915.0,5658.0,3896.0,478.0,2055.0,2705.0,392.0,1321.0,4357.0,5628.0,1508.0,989.0,90.0,274.0,774.0,2783.0,6398.0,1758.0,1623.0,0.0,109248.0,80572.0,3419.0,73.0,149.0,0.0,3367.0,106541.0,9925.0,8453.0,23.6,23.0,23.2,27.6,29.9,16.4,0.0,25.3,23.3,8.0,1.0,2.1,4.3,2.5,1.2,4.0,425.0,265.0,266.0,392.0,459.0,27951.0,18265.0,27875.0,19294.0,120837.0,54350.0,130445.0,44077.0,40.9,36.2,79.7,66.3,36.1,35.2,36.4,51.3,17.9,100.0,37.6,41.8,35.2,301107.0,146432.0,154675.0,116688.0,126534.0,27773.0,32490.0,223537.0,8164.0,174.0,320.0,164.0,12.0,9584.0,120.0,291542.0,336.0,146903.0,110489.0,8226.0,96.0,4318.0,16.0,3796.0,102263.0,,,0.4793010752688172,0.42544552221971577,0.4404748445449406,-770.0,1472.0,1.174139358807524,0.011670313639679067,,0.00039852942641652303,0.7423839366072525,0.02711328531053745
"Akron, OH Metro Area",24600.0,18355.0,9581.0,915.0,5060.0,9825.0,23512.0,15088.0,7730.0,1757.0,6893.0,10706.0,255.0,4097.0,11906.0,15177.0,1411.0,3299.0,156.0,325.0,2953.0,8910.0,17316.0,1861.0,5348.0,322.0,286543.0,239245.0,35322.0,532.0,6347.0,56.0,4207.0,4504.0,33137.0,26613.0,13.1,13.3,13.4,14.0,26.3,6.0,39.1,13.4,10.5,7.1,0.8,0.8,4.9,1.3,1.0,2.9,830.0,665.0,642.0,831.0,969.0,71299.0,39602.0,70962.0,40621.0,277645.0,192529.0,299658.0,178784.0,46.5,33.6,73.7,65.3,45.0,30.6,50.6,31.0,32.2,41.7,30.4,36.8,34.5,703845.0,342350.0,361495.0,268454.0,290452.0,52849.0,67584.0,572549.0,85475.0,1222.0,21337.0,6261.0,133.0,20290.0,3752.0,14597.0,414.0,315127.0,286378.0,18993.0,272.0,9260.0,405.0,9056.0,267385.0,33.8,30.5,0.48869304955104753,0.4511556977543881,0.446536884062157,-1088.0,6524.0,1.2451433509938752,0.014321065655767915,-3.299999999999997,0.005330719121397467,0.8134589291676434,0.12144008979249693
"Alamogordo, NM Micro Area",2688.0,1839.0,840.0,575.0,763.0,1111.0,1142.0,1053.0,683.0,686.0,904.0,1224.0,77.0,583.0,1618.0,1548.0,169.0,328.0,30.0,12.0,225.0,1065.0,969.0,329.0,136.0,23.0,23634.0,20022.0,871.0,1209.0,225.0,18.0,401.0,6942.0,30132.0,23745.0,20.7,16.7,18.5,10.9,14.4,17.5,0.0,20.9,17.4,7.9,1.5,1.7,5.0,2.6,2.0,3.8,792.0,457.0,548.0,674.0,934.0,8810.0,3764.0,6424.0,3637.0,27130.0,15462.0,25290.0,12574.0,47.2,30.7,60.9,44.8,38.8,27.6,37.7,52.9,14.3,13.3,22.7,37.6,31.0,66137.0,34214.0,31923.0,26255.0,24436.0,5343.0,5905.0,52309.0,2343.0,4503.0,858.0,40.0,138.0,2277.0,265.0,25315.0,224.0,31745.0,23391.0,1165.0,12.0,490.0,0.0,663.0,22226.0,25.2,26.3,0.29817232375979114,0.36410788381742737,0.448456992777413,-1546.0,6387.0,1.2689829437776374,0.010300429184549357,1.1000000000000014,0.004006834298501595,0.7909188502653582,0.035426463250525425
"Albany, GA Metro Area",4840.0,3618.0,2225.0,220.0,758.0,1444.0,4892.0,3561.0,2113.0,361.0,1241.0,1799.0,311.0,1870.0,2903.0,2033.0,256.0,113.0,24.0,148.0,1105.0,2279.0,3551.0,311.0,245.0,87.0,55714.0,24882.0,29094.0,176.0,574.0,45.0,473.0,1354.0,31880.0,24029.0,15.4,15.2,15.7,15.3,19.7,15.7,7.8,15.9,6.7,7.9,0.9,2.4,5.0,1.5,1.1,2.7,756.0,580.0,581.0,693.0,848.0,14518.0,8388.0,15677.0,9528.0,53759.0,32887.0,62675.0,35116.0,40.3,36.8,73.6,67.4,45.0,22.5,48.9,17.4,26.1,13.0,21.7,36.7,37.0,148436.0,70206.0,78230.0,51780.0,60550.0,9738.0,13154.0,62530.0,79499.0,319.0,2023.0,527.0,77.0,2518.0,222.0,4140.0,283.0,65314.0,57804.0,3094.0,17.0,1540.0,71.0,1466.0,54710.0,31.1,26.2,0.5026715988491575,0.49603008775595486,0.4870908252650991,52.0,7851.0,1.3267302010071165,0.005494505494505495,-4.900000000000002,0.0014955940607399823,0.421258993775095,0.5355776226791344
"Albany-Lebanon, OR Metro Area",3233.0,2652.0,1587.0,391.0,1389.0,1940.0,2726.0,2015.0,1208.0,599.0,1837.0,1954.0,50.0,877.0,2096.0,1515.0,262.0,175.0,24.0,22.0,831.0,1356.0,1911.0,327.0,318.0,24.0,47762.0,44507.0,197.0,256.0,432.0,15.0,1538.0,2645.0,34489.0,24023.0,18.1,17.8,18.3,18.6,13.2,17.0,30.9,18.7,11.1,12.1,2.6,1.4,7.7,2.9,1.6,5.3,964.0,669.0,734.0,929.0,1154.0,12106.0,7305.0,11841.0,7590.0,48789.0,31197.0,51376.0,27596.0,51.6,27.4,61.7,50.2,49.4,26.2,49.5,32.2,31.1,56.0,25.1,30.5,28.1,125048.0,61638.0,63410.0,47152.0,49486.0,10562.0,12333.0,112036.0,627.0,1192.0,1344.0,259.0,123.0,5729.0,829.0,11393.0,103.0,50416.0,,,,,,,,35.7,37.0,0.4574593052525592,0.43175487465181056,0.43220035778175314,-507.0,10466.0,1.4356658202555883,,1.2999999999999972,0.006629454289552811,0.8959439575203122,0.005014074595355383
"Albany-Schenectady-Troy, NY Metro Area",33455.0,22940.0,14661.0,566.0,5374.0,11143.0,31677.0,18088.0,12177.0,1757.0,7391.0,12787.0,362.0,4166.0,16004.0,18811.0,3755.0,6286.0,610.0,204.0,3380.0,12939.0,18950.0,3106.0,8604.0,1425.0,352713.0,304278.0,25187.0,583.0,11569.0,107.0,6882.0,13124.0,42637.0,33273.0,12.0,12.7,12.5,13.8,15.1,5.0,19.2,12.6,11.4,7.0,0.6,1.1,4.7,1.5,0.8,2.8,1013.0,796.0,872.0,1090.0,1121.0,91863.0,51456.0,89636.0,52781.0,353737.0,244420.0,375350.0,229355.0,45.8,36.0,77.3,69.1,54.3,33.2,57.1,46.2,37.2,27.7,32.6,38.7,36.0,880736.0,431481.0,449255.0,342634.0,364615.0,65768.0,84029.0,727961.0,68381.0,1637.0,38680.0,12437.0,276.0,30597.0,4773.0,45434.0,1688.0,407696.0,350301.0,26507.0,636.0,12617.0,721.0,12533.0,323794.0,28.0,30.2,0.4863507953079899,0.4408696499951253,0.4537223340040241,-1778.0,9364.0,1.2814293871908153,0.023993662051533558,2.1999999999999993,0.0054193311048940885,0.8265371234967118,0.07764074592159285
"Albemarle, NC Micro Area",1686.0,1379.0,868.0,176.0,653.0,785.0,1290.0,1072.0,454.0,308.0,686.0,1029.0,108.0,482.0,902.0,835.0,213.0,83.0,22.0,14.0,300.0,864.0,739.0,213.0,287.0,2.0,23332.0,20279.0,2424.0,99.0,252.0,0.0,178.0,522.0,31306.0,22958.0,15.0,14.9,15.0,18.3,5.1,2.4,50.0,15.2,7.9,7.3,1.7,0.4,4.5,1.0,0.9,2.7,708.0,413.0,461.0,668.0,814.0,5772.0,3637.0,5312.0,3415.0,24546.0,16192.0,25216.0,14348.0,52.8,27.7,68.1,53.0,47.0,23.7,52.9,36.4,43.8,,23.2,29.0,26.6,61588.0,30696.0,30892.0,23787.0,24412.0,5157.0,6378.0,51502.0,7000.0,282.0,1104.0,54.0,8.0,1133.0,134.0,2590.0,51.0,27805.0,23717.0,1292.0,0.0,837.0,23.0,432.0,22425.0,25.7,25.7,0.4334677419354839,0.43737250101999187,0.3434190620272315,-396.0,8348.0,1.3636205244359265,0.0,0.0,0.0021757485224394362,0.8362343313632525,0.11365850490355264
"Albert Lea, MN Micro Area",633.0,602.0,492.0,27.0,220.0,357.0,625.0,490.0,310.0,86.0,318.0,390.0,15.0,311.0,405.0,207.0,51.0,30.0,0.0,2.0,145.0,286.0,350.0,115.0,85.0,3.0,13009.0,12407.0,92.0,74.0,175.0,0.0,121.0,930.0,32487.0,26269.0,13.0,13.5,13.5,3.3,9.9,2.1,,14.0,11.0,5.0,0.3,0.2,4.4,0.7,0.3,2.4,681.0,384.0,483.0,717.0,891.0,2457.0,1652.0,2430.0,1651.0,12130.0,8376.0,12380.0,7312.0,53.8,26.8,70.3,58.6,47.1,24.8,55.2,36.6,44.4,,23.8,31.4,29.1,30463.0,15155.0,15308.0,11739.0,12038.0,3029.0,3670.0,27894.0,330.0,150.0,777.0,35.0,0.0,583.0,114.0,2967.0,57.0,14357.0,12970.0,1128.0,0.0,586.0,6.0,536.0,11842.0,29.8,31.2,0.4968203497615262,0.44871794871794873,0.3865336658354115,-8.0,6218.0,1.2367048612432905,0.0,1.3999999999999986,0.003742244690280012,0.9156681876374618,0.01083281357712635
"Albertville, AL Micro Area",2563.0,1755.0,903.0,283.0,1125.0,1753.0,1821.0,1248.0,603.0,553.0,1438.0,1429.0,200.0,829.0,1650.0,1085.0,240.0,124.0,4.0,57.0,514.0,1307.0,1132.0,406.0,196.0,57.0,34883.0,33008.0,785.0,152.0,150.0,1.0,427.0,2989.0,26352.0,20571.0,13.6,15.8,15.1,7.0,31.0,2.3,64.7,17.2,1.0,6.6,0.5,1.0,3.7,2.3,1.3,3.9,649.0,686.0,444.0,607.0,795.0,8912.0,5622.0,8371.0,5889.0,36367.0,23299.0,38062.0,17676.0,53.0,24.8,58.6,43.9,35.9,24.0,47.0,26.6,29.9,0.0,22.7,26.0,23.4,95643.0,47230.0,48413.0,34910.0,36846.0,6981.0,9112.0,88969.0,2549.0,378.0,573.0,330.0,51.0,1722.0,145.0,13357.0,266.0,40597.0,34896.0,1497.0,1.0,907.0,29.0,560.0,33399.0,37.4,38.1,0.4153740875912409,0.4155844155844156,0.40039840637450197,-742.0,5781.0,1.281026688056001,0.0006680026720106881,0.7000000000000028,0.0015160544943174095,0.9302196710684525,0.026651192455276394
"Albuquerque, NM Metro Area",27597.0,23914.0,16044.0,1861.0,7318.0,12384.0,24778.0,19734.0,13153.0,2784.0,9110.0,13783.0,582.0,6630.0,14756.0,15161.0,1900.0,2395.0,228.0,491.0,5517.0,9634.0,18230.0,2145.0,3469.0,309.0,351354.0,277567.0,9220.0,16073.0,6462.0,277.0,10444.0,148998.0,31407.0,28478.0,14.4,14.3,14.8,13.4,12.4,6.5,19.9,16.1,13.6,7.5,1.1,1.6,4.9,1.8,1.2,3.0,892.0,593.0,716.0,880.0,1175.0,96476.0,57656.0,92456.0,57577.0,356176.0,232539.0,375486.0,213997.0,43.9,34.9,70.0,62.4,40.8,32.0,42.7,55.2,26.8,49.2,25.6,37.8,35.9,912108.0,448642.0,463466.0,343864.0,363746.0,66100.0,81430.0,683435.0,24634.0,54934.0,20591.0,2896.0,856.0,36876.0,6491.0,447124.0,3280.0,389606.0,349150.0,25812.0,885.0,11872.0,1169.0,11886.0,323338.0,24.9,26.8,0.4730883054892601,0.45211693548387094,0.45049148885159435,-2819.0,2929.0,1.1028513238289206,0.03428637842863784,1.9000000000000021,0.007116481820135335,0.7492917505383134,0.027007766624127846
"Alexander City, AL Micro Area",1335.0,847.0,431.0,175.0,315.0,566.0,1146.0,971.0,556.0,284.0,495.0,537.0,101.0,409.0,1123.0,561.0,103.0,16.0,4.0,0.0,287.0,604.0,605.0,215.0,74.0,0.0,20237.0,14844.0,5146.0,28.0,37.0,0.0,133.0,233.0,25174.0,17366.0,21.0,19.9,20.5,20.2,66.0,6.2,,20.6,15.5,10.8,1.8,1.1,8.1,3.3,2.2,5.8,655.0,354.0,421.0,618.0,750.0,4099.0,2579.0,4318.0,2917.0,20451.0,10874.0,21730.0,10256.0,50.7,27.2,63.7,61.9,41.8,19.4,46.8,0.0,14.4,,19.1,28.7,30.6,51298.0,25035.0,26263.0,19772.0,21256.0,5008.0,5927.0,35438.0,14738.0,99.0,145.0,14.0,0.0,517.0,92.0,1090.0,0.0,29006.0,16448.0,667.0,0.0,353.0,16.0,298.0,15781.0,33.7,31.1,0.4619105199516324,0.5341034103410341,0.563323201621074,-189.0,7808.0,1.4496141886444778,0.0,-2.6000000000000014,0.0017934422394635268,0.6908261530663964,0.2873016491871028
"Alexandria, LA Metro Area",4729.0,3664.0,2566.0,246.0,1367.0,1850.0,3867.0,2963.0,2023.0,256.0,1546.0,1905.0,217.0,1464.0,3356.0,1704.0,73.0,299.0,9.0,160.0,751.0,2041.0,2516.0,127.0,403.0,18.0,55477.0,38144.0,15246.0,413.0,530.0,0.0,898.0,1109.0,25960.0,22710.0,17.4,16.1,17.0,16.3,24.7,12.3,0.0,17.3,8.8,8.7,0.9,1.5,5.4,2.8,2.0,4.7,809.0,467.0,574.0,758.0,940.0,16069.0,9644.0,14525.0,9329.0,59236.0,33987.0,61411.0,32607.0,42.7,33.4,68.2,61.0,37.8,26.1,49.3,30.9,24.0,,25.9,34.8,31.6,153310.0,76004.0,77306.0,56830.0,59219.0,10432.0,13654.0,100674.0,44959.0,1066.0,1747.0,245.0,10.0,3524.0,559.0,5248.0,92.0,67491.0,54989.0,3255.0,2.0,1554.0,34.0,1665.0,51734.0,39.0,35.9,0.4498604001861331,0.4471103063226196,0.44083678361298756,-862.0,3250.0,1.1431087626596212,0.0006144393241167435,-3.1000000000000014,0.0036462070315047943,0.6566694931837453,0.29325549540147416
"Alexandria, MN Micro Area",960.0,654.0,435.0,72.0,414.0,699.0,759.0,381.0,213.0,153.0,549.0,776.0,0.0,123.0,306.0,518.0,332.0,112.0,0.0,7.0,97.0,297.0,421.0,326.0,46.0,15.0,16663.0,16294.0,52.0,79.0,35.0,0.0,172.0,205.0,36900.0,24242.0,13.9,11.8,12.8,23.4,39.4,0.0,,12.9,10.4,3.4,0.8,0.3,2.1,0.8,0.8,1.4,733.0,464.0,613.0,741.0,977.0,3337.0,2129.0,2950.0,1961.0,15179.0,10674.0,15127.0,9221.0,62.1,22.3,61.4,45.9,34.8,22.3,44.8,10.1,2.9,,22.2,29.3,22.2,37513.0,18768.0,18745.0,14700.0,14749.0,3930.0,4490.0,36341.0,145.0,121.0,121.0,0.0,0.0,578.0,150.0,620.0,11.0,21152.0,16395.0,888.0,24.0,513.0,3.0,348.0,15507.0,27.8,28.1,0.44153577661431065,0.3681159420289855,0.3287037037037037,-201.0,12658.0,1.522151637653659,0.02702702702702703,0.3000000000000007,0.0039986138138778556,0.968757497400901,0.003865326686748594
"Alice, TX Micro Area",1803.0,1173.0,838.0,50.0,524.0,724.0,1350.0,887.0,543.0,198.0,576.0,777.0,17.0,687.0,1297.0,565.0,133.0,13.0,0.0,44.0,709.0,526.0,953.0,84.0,55.0,0.0,16498.0,15714.0,91.0,130.0,86.0,15.0,114.0,13415.0,18601.0,14148.0,17.7,17.1,17.3,2.4,0.0,0.0,0.0,16.7,17.6,6.2,0.5,1.4,5.0,1.9,1.0,2.7,692.0,504.0,434.0,679.0,836.0,5343.0,3184.0,4944.0,3084.0,19374.0,11798.0,19954.0,9878.0,45.0,35.9,71.4,56.2,37.7,36.2,57.3,0.0,7.3,0.0,26.8,36.6,33.6,52240.0,25834.0,26406.0,18684.0,19193.0,3686.0,4405.0,49709.0,419.0,201.0,216.0,64.0,54.0,360.0,0.0,42959.0,112.0,21946.0,13043.0,847.0,6.0,544.0,6.0,291.0,12196.0,22.0,22.7,0.42816365366317793,0.4305825242718447,0.3931933381607531,-453.0,4453.0,1.3147441334464236,0.0070838252656434475,0.6999999999999993,0.0,0.9515505359877489,0.008020673813169985
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",26131.0,19982.0,12517.0,760.0,5082.0,10479.0,24728.0,16620.0,9585.0,996.0,6748.0,12698.0,434.0,5069.0,14024.0,14755.0,1758.0,3171.0,217.0,163.0,3106.0,11199.0,16232.0,1839.0,4523.0,401.0,320529.0,281342.0,15807.0,606.0,7295.0,76.0,5402.0,42568.0,38432.0,28995.0,12.7,13.8,13.4,13.5,16.4,7.8,13.9,13.3,14.5,7.4,0.7,1.4,4.9,1.3,0.9,2.8,1066.0,807.0,849.0,1105.0,1291.0,79414.0,49410.0,76255.0,50215.0,331376.0,230105.0,351147.0,208272.0,49.3,32.3,73.8,66.8,47.3,30.0,50.5,45.7,30.2,70.7,28.0,34.1,33.1,837610.0,411125.0,426485.0,320104.0,340427.0,64987.0,83345.0,703420.0,50428.0,1971.0,23889.0,7803.0,302.0,26246.0,4182.0,142307.0,2865.0,349572.0,319220.0,23911.0,630.0,11812.0,435.0,11034.0,295309.0,28.6,28.4,0.48620696435242533,0.45407354789355775,0.4336711609809067,-1403.0,9437.0,1.325469908604932,0.0263477060767011,-0.20000000000000284,0.00499277706808658,0.8397941762872936,0.06020462983966285
"Alma, MI Micro Area",1644.0,1223.0,724.0,174.0,266.0,573.0,1025.0,517.0,302.0,220.0,473.0,625.0,100.0,305.0,984.0,1002.0,48.0,124.0,23.0,9.0,86.0,445.0,1223.0,87.0,79.0,9.0,15035.0,14559.0,182.0,75.0,16.0,16.0,161.0,750.0,30778.0,20829.0,14.4,15.4,15.1,8.3,6.6,1.4,0.0,15.5,8.0,6.1,0.8,1.5,4.1,1.6,1.0,2.5,687.0,,515.0,685.0,800.0,5050.0,3016.0,3438.0,2161.0,18208.0,8896.0,15580.0,8456.0,45.8,33.5,71.1,53.6,47.5,30.2,73.8,51.4,38.6,20.0,29.4,31.4,27.8,40916.0,21928.0,18988.0,17706.0,15058.0,3180.0,3857.0,37227.0,2346.0,242.0,183.0,21.0,30.0,796.0,70.0,2498.0,12.0,16330.0,15177.0,1129.0,8.0,462.0,18.0,641.0,14048.0,34.8,34.6,0.3840389659048333,0.2971264367816092,0.29434697855750486,-619.0,9949.0,1.477651351481108,0.0070859167404783,-0.19999999999999574,0.0017108221722553524,0.909839671522143,0.057336983087300813
"Alpena, MI Micro Area",691.0,543.0,217.0,29.0,244.0,355.0,572.0,415.0,243.0,75.0,301.0,338.0,46.0,172.0,319.0,349.0,120.0,43.0,0.0,11.0,92.0,288.0,460.0,70.0,34.0,17.0,12752.0,12484.0,14.0,59.0,56.0,0.0,131.0,96.0,24236.0,20257.0,19.3,17.8,18.5,19.7,23.3,4.1,13.5,18.6,8.5,8.0,1.9,0.5,5.5,0.9,0.9,2.5,596.0,405.0,424.0,611.0,716.0,2278.0,1542.0,2096.0,1506.0,11748.0,7113.0,12116.0,6393.0,50.5,24.1,63.7,58.7,21.9,23.7,53.3,24.3,16.5,75.7,23.7,30.5,26.0,28520.0,14068.0,14452.0,11365.0,11811.0,2963.0,3525.0,27603.0,165.0,103.0,176.0,21.0,37.0,392.0,36.0,393.0,11.0,16056.0,12717.0,924.0,14.0,499.0,0.0,411.0,11793.0,29.3,28.8,0.45288994457640536,0.4331941544885177,0.5282608695652173,-119.0,3979.0,1.1964259268401047,0.015151515151515152,-0.5,0.0012622720897615708,0.9678471248246844,0.005785413744740533
"Altoona, PA Metro Area",3053.0,2889.0,1558.0,173.0,1075.0,1710.0,2735.0,2369.0,925.0,350.0,1262.0,1998.0,61.0,611.0,1824.0,1579.0,306.0,565.0,12.0,48.0,501.0,1593.0,1538.0,398.0,444.0,57.0,52126.0,50510.0,788.0,65.0,203.0,42.0,430.0,402.0,29154.0,23195.0,17.7,17.6,17.8,12.6,51.6,5.0,16.7,17.8,21.8,9.9,1.2,1.5,6.3,2.1,0.6,3.4,722.0,508.0,583.0,745.0,825.0,11098.0,7089.0,10546.0,7019.0,48797.0,31237.0,52334.0,28156.0,50.2,28.6,67.6,57.2,42.9,27.7,59.3,29.8,26.6,43.3,27.6,32.2,28.0,123157.0,60259.0,62898.0,47217.0,50808.0,10768.0,14228.0,117570.0,2053.0,158.0,756.0,185.0,60.0,2134.0,321.0,1562.0,91.0,56847.0,51625.0,3878.0,37.0,1900.0,30.0,1911.0,47747.0,32.8,33.0,0.47252937111264687,0.45055154050969953,0.3725332259363673,-318.0,5959.0,1.2569088165552922,0.009541000515729758,0.20000000000000284,0.0026064291920069507,0.9546351405117046,0.016669779224891806
